#Position (bp)	Coverage	Std
1.9509834245E9	0.0	0.0
1.9591636485E9	0.0	0.0
1.9673438725E9	0.0	0.0
1.9755240965E9	0.0	0.0
1.9837043205E9	0.0	0.0
1.9918845445E9	0.0	0.0
2.0000647685E9	0.0	0.0
2.0082449925E9	0.0	0.0
2.0164252165E9	0.0	0.0
2.0246054405E9	0.0	0.0
2.0327856645E9	0.0	0.0
2.0409658885E9	0.0	0.0
2.0491461125E9	0.0	0.0
2.0573263365E9	0.0	0.0
2.0655065605E9	0.0	0.0
2.0736867845E9	0.0	0.0
2.0783648955E9	0.0	0.0
2.0824550075E9	0.0	0.0
2.0900472325E9	0.0	0.0
2.0982274565E9	0.0	0.0
2.1064076805E9	0.0	0.0
2.1145879045E9	0.0	0.0
2.1227681285E9	0.0	0.0
2.1309483525E9	0.0	0.0
2.1391285765E9	0.0	0.0
2.1473088005E9	0.0	0.0
2.1554890245E9	0.0	0.0
2.1636692485E9	0.0	0.0
2.1718494725E9	0.0	0.0
2.1800296965E9	0.0	0.0
2.1882099205E9	0.0	0.0
2.1928086275E9	0.0	0.0
2.1968987395E9	0.0	0.0
2.2045703685E9	0.0	0.0
2.2127505925E9	0.0	0.0
2.2209308165E9	0.0	0.0
2.2291110405E9	0.0	0.0
2.2372912645E9	0.0	0.0
2.2454714885E9	0.0	0.0
2.2536517125E9	0.0	0.0
2.2618319365E9	0.0	0.0
2.2700121605E9	0.0	0.0
2.2781923845E9	0.0	0.0
2.2863726085E9	0.0	0.0
2.2945528325E9	0.0	0.0
2.2995019425E9	0.0	0.0
2.300461795E9	0.0	0.0
2.300668236E9	0.0	0.0
2.3008708475E9	0.0	0.0
2.301063607E9	0.0	0.0
2.301178399E9	0.0	0.0
2.301217234E9	0.0	0.0
2.3013234165E9	0.0	0.0
2.301431691E9	0.0	0.0
2.3041383645E9	0.0	0.0
2.3109132805E9	0.0	0.0
2.3190935045E9	0.0	0.0
2.3272737285E9	0.0	0.0
2.3354539525E9	0.0	0.0
2.3436341765E9	0.0	0.0
2.3518144005E9	0.0	0.0
2.3599946245E9	0.0	0.0
2.3681748485E9	0.0	0.0
2.3763550725E9	0.0	0.0
2.3845352965E9	0.0	0.0
2.3927155205E9	0.0	0.0
2.400125191E9	0.0	0.0
2.4036688735E9	0.0	0.0
2.404439427E9	0.0	0.0
2.4090759685E9	0.0	0.0
2.4172561925E9	0.0	0.0
2.4254364165E9	0.0	0.0
2.4336166405E9	0.0	0.0
2.4417968645E9	0.0	0.0
2.4499770885E9	0.0	0.0
2.4581573125E9	0.0	0.0
