Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX10036.WHB6564.unmapped-both-read-and-mate	1925.0	832.0	nan	1.0	25367.0
MUX10036.WHB6565.unmapped-both-read-and-mate	1535.0	893.0	4.0	nan	25789.0
MUX10036.WHB6566.unmapped-both-read-and-mate	1277.0	844.0	nan	1.0	27265.0
MUX10036.WHB6567.unmapped-both-read-and-mate	1578.0	882.0	nan	nan	26677.0
MUX10036.WHB6568.unmapped-both-read-and-mate	4858.0	965.0	nan	nan	31092.0
MUX10037.WHB6569.unmapped-both-read-and-mate	2780.0	1131.0	2.0	nan	29850.0
MUX10037.WHB6571.unmapped-both-read-and-mate	1714.0	1006.0	3.0	2.0	28019.0
MUX10037.WHB6572.unmapped-both-read-and-mate	4559.0	1408.0	1.0	2.0	44849.0
MUX10037.WHB6573.unmapped-both-read-and-mate	1619.0	1055.0	2.0	nan	31157.0
MUX10038.WHB6574.unmapped-both-read-and-mate	2107.0	828.0	2.0	nan	23101.0
MUX10038.WHB6575.unmapped-both-read-and-mate	1552.0	1130.0	3.0	nan	32009.0
MUX10038.WHB6577.unmapped-both-read-and-mate	2692.0	959.0	nan	nan	27990.0
MUX10038.WHB6578.unmapped-both-read-and-mate	1841.0	1155.0	1.0	nan	35859.0
MUX10038.WHB6583.unmapped-both-read-and-mate	2851.0	1237.0	1.0	nan	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	2443.0	1123.0	nan	nan	31525.0
MUX10039.WHB6584.unmapped-both-read-and-mate	1680.0	997.0	2.0	1.0	29467.0
MUX10039.WHB6585.unmapped-both-read-and-mate	1760.0	1267.0	nan	1.0	33684.0
MUX10039.WHB6587.unmapped-both-read-and-mate	1411.0	1084.0	nan	nan	33169.0
MUX10039.WHB6588.unmapped-both-read-and-mate	1319.0	1102.0	1.0	nan	31202.0
MUX10040.WHB6461.unmapped-both-read-and-mate	1864.0	666.0	nan	nan	18323.0
MUX10040.WHB6481.unmapped-both-read-and-mate	974.0	715.0	1.0	nan	19469.0
MUX10040.WHB6484.unmapped-both-read-and-mate	2986.0	766.0	1.0	nan	24598.0
MUX10040.WHB6492.unmapped-both-read-and-mate	2497.0	718.0	nan	1.0	26989.0
MUX10040.WHB6512.unmapped-both-read-and-mate	1493.0	804.0	3.0	nan	23990.0
MUX10041.WHB6496.unmapped-both-read-and-mate	1753.0	513.0	nan	nan	6190.0
MUX10041.WHB6579.unmapped-both-read-and-mate	1287.0	355.0	4.0	nan	4588.0
MUX10041.WHB6586.unmapped-both-read-and-mate	1554.0	501.0	nan	nan	5890.0
MUX10041.WHB7554.unmapped-both-read-and-mate	3926.0	472.0	5.0	nan	7473.0
MUX10041.WHB7562.unmapped-both-read-and-mate	2187.0	388.0	1.0	nan	5425.0
MUX10042.WHB6535.unmapped-both-read-and-mate	1452.0	575.0	8.0	1.0	6474.0
MUX10042.WHB6537.unmapped-both-read-and-mate	943.0	471.0	nan	nan	5520.0
MUX10042.WHB6540.unmapped-both-read-and-mate	1764.0	542.0	nan	nan	6833.0
MUX10042.WHB6548.unmapped-both-read-and-mate	1505.0	506.0	11.0	nan	5796.0
MUX10042.WHB6576.unmapped-both-read-and-mate	1446.0	483.0	1.0	nan	6016.0
MUX10043.WHB7555.unmapped-both-read-and-mate	5395.0	576.0	1.0	1.0	12209.0
MUX10043.WHB7556.unmapped-both-read-and-mate	7235.0	493.0	nan	nan	12524.0
MUX10043.WHB7557.unmapped-both-read-and-mate	3132.0	524.0	3.0	1.0	10534.0
MUX10043.WHB7558.unmapped-both-read-and-mate	3030.0	567.0	3.0	nan	10111.0
MUX10043.WHB7559.unmapped-both-read-and-mate	5097.0	545.0	nan	nan	12138.0
MUX10044.WHB7564.unmapped-both-read-and-mate	7542.0	582.0	nan	1.0	13695.0
MUX10044.WHB7565.unmapped-both-read-and-mate	3300.0	362.0	1.0	nan	7646.0
MUX10044.WHB7566.unmapped-both-read-and-mate	1685.0	515.0	nan	nan	9209.0
MUX10044.WHB7567.unmapped-both-read-and-mate	7118.0	537.0	4.0	1.0	12753.0
MUX10045.WHB7568.unmapped-both-read-and-mate	7476.0	467.0	1.0	nan	11247.0
MUX10045.WHB7569.unmapped-both-read-and-mate	4505.0	581.0	6.0	nan	9501.0
MUX10045.WHB7570.unmapped-both-read-and-mate	3175.0	544.0	2.0	nan	8198.0
MUX10045.WHB7576.unmapped-both-read-and-mate	3146.0	497.0	nan	nan	7419.0
MUX10046.WHB7571.unmapped-both-read-and-mate	1778.0	554.0	1.0	nan	8355.0
MUX10046.WHB7573.unmapped-both-read-and-mate	7146.0	412.0	nan	2.0	10996.0
MUX10046.WHB7574.unmapped-both-read-and-mate	2029.0	520.0	3.0	nan	7236.0
MUX10046.WHB7575.unmapped-both-read-and-mate	3880.0	573.0	nan	nan	11551.0
MUX10046.WHB7577.unmapped-both-read-and-mate	4403.0	566.0	2.0	nan	10242.0
MUX10047.WHB7578.unmapped-both-read-and-mate	1657.0	465.0	1.0	nan	6943.0
MUX10047.WHB7579.unmapped-both-read-and-mate	3179.0	443.0	nan	nan	7840.0
MUX10047.WHB7580.unmapped-both-read-and-mate	1971.0	472.0	1.0	nan	6251.0
MUX10047.WHB7581.unmapped-both-read-and-mate	1228.0	435.0	nan	nan	5789.0
MUX10047.WHB7583.unmapped-both-read-and-mate	5019.0	476.0	5.0	1.0	9924.0
MUX10048.WHB7586.unmapped-both-read-and-mate	3019.0	400.0	nan	nan	6821.0
MUX10048.WHB7588.unmapped-both-read-and-mate	2624.0	417.0	10.0	nan	6394.0
MUX10048.WHB7589.unmapped-both-read-and-mate	1554.0	439.0	nan	nan	5649.0
MUX10048.WHB7590.unmapped-both-read-and-mate	2135.0	473.0	1.0	nan	6267.0
MUX10049.WHB7591.unmapped-both-read-and-mate	2981.0	799.0	1.0	nan	33753.0
MUX10049.WHB7592.unmapped-both-read-and-mate	2520.0	831.0	7.0	1.0	33364.0
MUX10049.WHB7593.unmapped-both-read-and-mate	2147.0	756.0	nan	1.0	33316.0
MUX10049.WHB7594.unmapped-both-read-and-mate	2748.0	866.0	nan	nan	33112.0
MUX10049.WHB7595.unmapped-both-read-and-mate	2081.0	747.0	nan	nan	30405.0
MUX10050.WHB7597.unmapped-both-read-and-mate	1372.0	764.0	nan	1.0	27388.0
MUX10050.WHB7598.unmapped-both-read-and-mate	1670.0	866.0	nan	nan	32323.0
MUX10050.WHB7599.unmapped-both-read-and-mate	2111.0	1075.0	2.0	nan	46940.0
MUX10050.WHB7600.unmapped-both-read-and-mate	3204.0	773.0	4.0	nan	32157.0
MUX10050.WHB7601.unmapped-both-read-and-mate	2052.0	1038.0	3.0	2.0	47264.0
