Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX10035.WHB6560.unmapped-both-read-and-mate	1602.0	1429.0	15.0	5.0	nan	10.0	43048.0
MUX10035.WHB6561.unmapped-both-read-and-mate	1364.0	1307.0	17.0	18.0	2.0	20.0	33116.0
MUX10035.WHB6562.unmapped-both-read-and-mate	1443.0	1310.0	20.0	7.0	3.0	11.0	33427.0
MUX10035.WHB6563.unmapped-both-read-and-mate	1251.0	1390.0	20.0	9.0	1.0	14.0	37160.0
MUX10036.WHB6564.unmapped-both-read-and-mate	1886.0	832.0	17.0	13.0	2.0	8.0	25367.0
MUX10036.WHB6565.unmapped-both-read-and-mate	1475.0	893.0	32.0	11.0	3.0	18.0	25789.0
MUX10036.WHB6566.unmapped-both-read-and-mate	1231.0	844.0	23.0	9.0	3.0	12.0	27265.0
MUX10036.WHB6567.unmapped-both-read-and-mate	1527.0	882.0	15.0	17.0	1.0	18.0	26677.0
MUX10036.WHB6568.unmapped-both-read-and-mate	4760.0	965.0	54.0	14.0	8.0	22.0	31092.0
MUX10037.WHB6569.unmapped-both-read-and-mate	2716.0	1131.0	33.0	12.0	2.0	19.0	29850.0
MUX10037.WHB6571.unmapped-both-read-and-mate	1658.0	1006.0	25.0	14.0	2.0	20.0	28019.0
MUX10037.WHB6572.unmapped-both-read-and-mate	4462.0	1408.0	54.0	11.0	6.0	29.0	44849.0
MUX10037.WHB6573.unmapped-both-read-and-mate	1561.0	1055.0	29.0	15.0	3.0	13.0	31157.0
MUX10038.WHB6574.unmapped-both-read-and-mate	2044.0	828.0	36.0	9.0	4.0	16.0	23101.0
MUX10038.WHB6575.unmapped-both-read-and-mate	1496.0	1130.0	23.0	22.0	5.0	9.0	32009.0
MUX10038.WHB6577.unmapped-both-read-and-mate	2566.0	959.0	87.0	10.0	5.0	24.0	27990.0
MUX10038.WHB6578.unmapped-both-read-and-mate	1761.0	1155.0	42.0	18.0	4.0	17.0	35859.0
MUX10038.WHB6583.unmapped-both-read-and-mate	2776.0	1237.0	41.0	17.0	2.0	16.0	38430.0
MUX10039.WHB6452.unmapped-both-read-and-mate	2371.0	1123.0	37.0	12.0	6.0	17.0	31525.0
MUX10039.WHB6584.unmapped-both-read-and-mate	1612.0	997.0	36.0	15.0	1.0	19.0	29467.0
MUX10039.WHB6585.unmapped-both-read-and-mate	1708.0	1267.0	28.0	10.0	2.0	13.0	33684.0
MUX10039.WHB6587.unmapped-both-read-and-mate	1342.0	1084.0	38.0	21.0	2.0	8.0	33169.0
MUX10039.WHB6588.unmapped-both-read-and-mate	1280.0	1102.0	19.0	12.0	1.0	8.0	31202.0
MUX10040.WHB6461.unmapped-both-read-and-mate	1814.0	666.0	29.0	13.0	nan	8.0	18323.0
MUX10040.WHB6481.unmapped-both-read-and-mate	926.0	715.0	20.0	17.0	6.0	6.0	19469.0
MUX10040.WHB6484.unmapped-both-read-and-mate	2926.0	766.0	27.0	8.0	2.0	24.0	24598.0
MUX10040.WHB6492.unmapped-both-read-and-mate	2417.0	718.0	49.0	15.0	1.0	16.0	26989.0
MUX10040.WHB6512.unmapped-both-read-and-mate	1453.0	804.0	14.0	13.0	nan	16.0	23990.0
MUX10041.WHB6496.unmapped-both-read-and-mate	1676.0	513.0	45.0	16.0	1.0	15.0	6190.0
MUX10041.WHB6579.unmapped-both-read-and-mate	1246.0	355.0	21.0	11.0	nan	13.0	4588.0
MUX10041.WHB6586.unmapped-both-read-and-mate	1495.0	501.0	28.0	18.0	3.0	10.0	5890.0
MUX10041.WHB7554.unmapped-both-read-and-mate	3782.0	472.0	94.0	15.0	3.0	37.0	7473.0
MUX10041.WHB7562.unmapped-both-read-and-mate	2145.0	388.0	23.0	6.0	nan	14.0	5425.0
MUX10042.WHB6535.unmapped-both-read-and-mate	1415.0	575.0	21.0	5.0	2.0	18.0	6474.0
MUX10042.WHB6537.unmapped-both-read-and-mate	907.0	471.0	21.0	7.0	nan	8.0	5520.0
MUX10042.WHB6540.unmapped-both-read-and-mate	1707.0	542.0	36.0	12.0	2.0	7.0	6833.0
MUX10042.WHB6548.unmapped-both-read-and-mate	1342.0	506.0	133.0	17.0	1.0	23.0	5796.0
MUX10042.WHB6576.unmapped-both-read-and-mate	1397.0	483.0	30.0	9.0	5.0	6.0	6016.0
MUX10043.WHB7555.unmapped-both-read-and-mate	5295.0	576.0	48.0	9.0	6.0	39.0	12209.0
