Sample	Pseudomonadaceae	Sphingomonadaceae	Hominidae	Alcaligenaceae	Bradyrhizobiaceae	Other	Unclassified
MUX10029.WHB6525.unmapped-both-read-and-mate	12.0	16.0	419.0	4.0	1370.0	412.0	5773.0
MUX10029.WHB6526.unmapped-both-read-and-mate	10.0	10.0	400.0	6.0	867.0	257.0	4805.0
MUX10029.WHB6527.unmapped-both-read-and-mate	18.0	24.0	401.0	3.0	1434.0	468.0	5096.0
MUX10029.WHB6528.unmapped-both-read-and-mate	7.0	16.0	313.0	6.0	1092.0	354.0	4195.0
MUX10029.WHB6529.unmapped-both-read-and-mate	21.0	45.0	356.0	14.0	3067.0	889.0	6468.0
MUX10030.WHB6530.unmapped-both-read-and-mate	15.0	35.0	430.0	14.0	2658.0	737.0	6750.0
MUX10030.WHB6531.unmapped-both-read-and-mate	16.0	39.0	406.0	4.0	2020.0	533.0	5847.0
MUX10030.WHB6532.unmapped-both-read-and-mate	17.0	43.0	376.0	10.0	2789.0	800.0	6205.0
MUX10030.WHB6533.unmapped-both-read-and-mate	12.0	27.0	449.0	2.0	1116.0	356.0	5487.0
MUX10030.WHB6534.unmapped-both-read-and-mate	13.0	29.0	436.0	6.0	1706.0	457.0	5875.0
MUX10031.WHB6536.unmapped-both-read-and-mate	4.0	13.0	392.0	3.0	1175.0	395.0	5555.0
MUX10031.WHB6538.unmapped-both-read-and-mate	10.0	18.0	453.0	7.0	1111.0	386.0	6099.0
MUX10031.WHB6539.unmapped-both-read-and-mate	9.0	14.0	379.0	7.0	1080.0	303.0	5312.0
MUX10031.WHB6541.unmapped-both-read-and-mate	15.0	25.0	478.0	4.0	1359.0	401.0	6326.0
MUX10031.WHB6542.unmapped-both-read-and-mate	11.0	17.0	352.0	2.0	981.0	293.0	5060.0
MUX10032.WHB6543.unmapped-both-read-and-mate	10.0	40.0	322.0	8.0	2595.0	742.0	5300.0
MUX10032.WHB6544.unmapped-both-read-and-mate	10.0	28.0	347.0	7.0	1154.0	295.0	4570.0
MUX10032.WHB6545.unmapped-both-read-and-mate	10.0	15.0	379.0	5.0	1262.0	410.0	4880.0
MUX10032.WHB6546.unmapped-both-read-and-mate	8.0	13.0	331.0	8.0	1035.0	346.0	4133.0
MUX10032.WHB6547.unmapped-both-read-and-mate	33.0	69.0	326.0	19.0	4769.0	1409.0	7799.0
MUX10033.WHB6549.unmapped-both-read-and-mate	8.0	19.0	1108.0	3.0	1177.0	360.0	39514.0
MUX10033.WHB6550.unmapped-both-read-and-mate	10.0	12.0	1468.0	nan	1128.0	915.0	51188.0
MUX10033.WHB6551.unmapped-both-read-and-mate	8.0	23.0	1199.0	6.0	1167.0	370.0	39724.0
MUX10033.WHB6552.unmapped-both-read-and-mate	11.0	17.0	1086.0	1.0	836.0	242.0	38090.0
MUX10033.WHB6553.unmapped-both-read-and-mate	10.0	31.0	1383.0	9.0	1775.0	571.0	47962.0
MUX10034.WHB6554.unmapped-both-read-and-mate	14.0	9.0	1376.0	5.0	1210.0	444.0	44094.0
MUX10034.WHB6555.unmapped-both-read-and-mate	13.0	15.0	1258.0	5.0	1331.0	406.0	33735.0
MUX10034.WHB6556.unmapped-both-read-and-mate	10.0	13.0	1289.0	3.0	1081.0	358.0	40946.0
MUX10034.WHB6557.unmapped-both-read-and-mate	9.0	30.0	1399.0	2.0	1753.0	524.0	41115.0
MUX10034.WHB6558.unmapped-both-read-and-mate	11.0	13.0	1196.0	4.0	1069.0	315.0	33519.0
MUX10035.WHB6559.unmapped-both-read-and-mate	10.0	26.0	1456.0	5.0	1572.0	464.0	39820.0
MUX10035.WHB6560.unmapped-both-read-and-mate	12.0	15.0	1429.0	3.0	1246.0	356.0	43048.0
MUX10035.WHB6561.unmapped-both-read-and-mate	11.0	15.0	1307.0	4.0	1067.0	324.0	33116.0
MUX10035.WHB6562.unmapped-both-read-and-mate	8.0	12.0	1310.0	4.0	1112.0	348.0	33427.0
MUX10035.WHB6563.unmapped-both-read-and-mate	13.0	12.0	1390.0	2.0	956.0	312.0	37160.0
MUX10036.WHB6564.unmapped-both-read-and-mate	11.0	22.0	832.0	6.0	1469.0	418.0	25367.0
MUX10036.WHB6565.unmapped-both-read-and-mate	3.0	22.0	893.0	5.0	1120.0	389.0	25789.0
