Sample	Metazoa	Other	Unclassified
MUX5851.WHB1095.unmapped-both-read-and-mate	402.0	1773.0	3979.0
MUX5851.WHB1097.unmapped-both-read-and-mate	356.0	1428.0	3894.0
MUX8076.WHB3389.unmapped-both-read-and-mate	755.0	488166.0	64906.0
MUX8078.WHB3402.unmapped-both-read-and-mate	837.0	714530.0	95327.0
MUX8080.WHB3405.unmapped-both-read-and-mate	964.0	929272.0	122122.0
MUX8082.WHB3416.unmapped-both-read-and-mate	676.0	197049.0	34896.0
MUX8084.WHB3428.unmapped-both-read-and-mate	908.0	455584.0	73822.0
MUX8085.WHB3432.unmapped-both-read-and-mate	1066.0	470094.0	79564.0
MUX8089.WHB3450.unmapped-both-read-and-mate	981.0	651775.0	90209.0
MUX8100.WHB3473.unmapped-both-read-and-mate	834.0	231016.0	39635.0
MUX8100.WHB3475.unmapped-both-read-and-mate	671.0	947462.0	91138.0
MUX8101.WHB3484.unmapped-both-read-and-mate	815.0	919667.0	81625.0
MUX8104.WHB3500.unmapped-both-read-and-mate	899.0	1673841.0	144009.0
MUX8106.WHB3510.unmapped-both-read-and-mate	763.0	1451902.0	126817.0
MUX8107.WHB3513.unmapped-both-read-and-mate	743.0	1172553.0	102819.0
MUX8107.WHB3516.unmapped-both-read-and-mate	744.0	12630.0	9506.0
MUX8108.WHB3519.unmapped-both-read-and-mate	688.0	386273.0	38371.0
MUX8119.WHB3530.unmapped-both-read-and-mate	936.0	717737.0	74150.0
MUX8122.WHB3544.unmapped-both-read-and-mate	918.0	745354.0	77245.0
MUX8124.WHB3554.unmapped-both-read-and-mate	791.0	374109.0	48317.0
MUX8183.WHB3574.unmapped-both-read-and-mate	1012.0	288507.0	49023.0
MUX8184.WHB3583.unmapped-both-read-and-mate	1127.0	256138.0	44583.0
MUX8189.WHB3606.unmapped-both-read-and-mate	1006.0	419910.0	59806.0
MUX8193.WHB3624.unmapped-both-read-and-mate	832.0	787102.0	64876.0
MUX8193.WHB3626.unmapped-both-read-and-mate	782.0	71125.0	23795.0
MUX8194.WHB3629.unmapped-both-read-and-mate	817.0	310318.0	38440.0
MUX8196.WHB3662.unmapped-both-read-and-mate	1024.0	13287.0	26458.0
MUX8197.WHB3665.unmapped-both-read-and-mate	1059.0	105006.0	40689.0
MUX8198.WHB3670.unmapped-both-read-and-mate	1140.0	117184.0	40179.0
MUX8205.WHB3645.unmapped-both-read-and-mate	847.0	235835.0	30704.0
MUX8212.WHB3721.unmapped-both-read-and-mate	697.0	39096.0	16614.0
MUX8219.WHB3738.unmapped-both-read-and-mate	1093.0	157987.0	39796.0
MUX8222.WHB3755.unmapped-both-read-and-mate	1138.0	171165.0	43550.0
MUX8235.WHB3758.unmapped-both-read-and-mate	896.0	57997.0	36038.0
MUX8237.WHB3768.unmapped-both-read-and-mate	917.0	491292.0	67205.0
MUX8238.WHB3775.unmapped-both-read-and-mate	872.0	224312.0	38508.0
MUX8239.WHB3779.unmapped-both-read-and-mate	703.0	342252.0	44174.0
MUX8241.WHB3789.unmapped-both-read-and-mate	635.0	11173.0	15754.0
MUX8243.WHB3796.unmapped-both-read-and-mate	712.0	385265.0	40735.0
MUX8243.WHB3798.unmapped-both-read-and-mate	722.0	10412.0	16268.0
MUX8244.WHB3803.unmapped-both-read-and-mate	789.0	518330.0	58958.0
MUX8248.WHB3821.unmapped-both-read-and-mate	969.0	214784.0	48851.0
MUX8248.WHB3822.unmapped-both-read-and-mate	870.0	6585.0	28041.0
MUX8250.WHB3832.unmapped-both-read-and-mate	983.0	315670.0	51184.0
MUX8250.WHB3836.unmapped-both-read-and-mate	909.0	7494.0	26842.0
MUX8253.WHB3837.unmapped-both-read-and-mate	729.0	458492.0	54013.0
MUX8257.WHB4866.unmapped-both-read-and-mate	682.0	762863.0	91606.0
MUX8257.WHB4867.unmapped-both-read-and-mate	598.0	842499.0	102381.0
MUX8277.WHB4914.unmapped-both-read-and-mate	954.0	302352.0	59336.0
MUX8277.WHB4916.unmapped-both-read-and-mate	858.0	425822.0	60439.0
MUX8277.WHB4918.unmapped-both-read-and-mate	870.0	313310.0	52564.0
MUX8278.WHB4923.unmapped-both-read-and-mate	964.0	267937.0	48300.0
MUX8281.WHB4938.unmapped-both-read-and-mate	634.0	273691.0	48680.0
MUX8282.WHB4943.unmapped-both-read-and-mate	608.0	514598.0	58730.0
MUX8302.WHB4954.unmapped-both-read-and-mate	733.0	189466.0	31789.0
MUX8302.WHB4956.unmapped-both-read-and-mate	613.0	293992.0	37137.0
MUX8303.WHB4959.unmapped-both-read-and-mate	598.0	6053.0	8590.0
MUX8309.WHB4965.unmapped-both-read-and-mate	1101.0	248048.0	58709.0
MUX8310.WHB4969.unmapped-both-read-and-mate	1182.0	214459.0	61202.0
MUX8310.WHB4970.unmapped-both-read-and-mate	1188.0	4403.0	44558.0
MUX8314.WHB4990.unmapped-both-read-and-mate	944.0	366213.0	59828.0
MUX8315.WHB4996.unmapped-both-read-and-mate	891.0	3950.0	26152.0
