Sample	Pseudomonadaceae	Hominidae	Sphingomonadaceae	Burkholderiaceae	Alcaligenaceae	Other	Unclassified
MUX3971.WHH1401.unmapped-both-read-and-mate	36.0	662.0	2.0	1910.0	12.0	354.0	5635.0
MUX3971.WHH1403.unmapped-both-read-and-mate	137.0	722.0	29.0	7394.0	33.0	1117.0	9581.0
MUX3971.WHH1423.unmapped-both-read-and-mate	14.0	572.0	5.0	35.0	3.0	141.0	4481.0
MUX3971.WHH1439.unmapped-both-read-and-mate	75.0	697.0	18.0	3778.0	60.0	1106.0	7860.0
MUX4050.WHH1462.unmapped-both-read-and-mate	47.0	656.0	12.0	2708.0	19.0	2791.0	5372.0
MUX4050.WHH1493.unmapped-both-read-and-mate	6.0	899.0	12.0	181.0	1.0	74.0	5419.0
MUX4050.WHH1507.unmapped-both-read-and-mate	66.0	786.0	8.0	3058.0	23.0	616.0	6049.0
MUX4050.WHH1511.unmapped-both-read-and-mate	18.0	800.0	5.0	1402.0	22.0	339.0	6084.0
MUX4050.WHH1512.unmapped-both-read-and-mate	30.0	754.0	3.0	1848.0	9.0	369.0	5152.0
MUX4050.WHH1513.unmapped-both-read-and-mate	22.0	648.0	5.0	1483.0	10.0	341.0	4663.0
MUX4050.WHH1536.unmapped-both-read-and-mate	11.0	715.0	6.0	30.0	nan	151.0	4922.0
MUX4068.WHH1580.unmapped-both-read-and-mate	8.0	616.0	12.0	24.0	4.0	207.0	4566.0
MUX4068.WHH1584.unmapped-both-read-and-mate	22.0	711.0	9.0	29.0	2.0	131.0	5044.0
MUX4068.WHH1587.unmapped-both-read-and-mate	27.0	691.0	14.0	53.0	8.0	270.0	5413.0
MUX4068.WHH1603.unmapped-both-read-and-mate	16.0	604.0	2.0	14.0	4.0	80.0	4245.0
MUX4068.WHH1614.unmapped-both-read-and-mate	80.0	730.0	19.0	6340.0	39.0	1003.0	7975.0
MUX4095.WHH1677.unmapped-both-read-and-mate	38.0	728.0	1.0	52.0	4.0	188.0	5130.0
MUX4095.WHH1692.unmapped-both-read-and-mate	38.0	717.0	4.0	413.0	3.0	137.0	5048.0
MUX4095.WHH1701.unmapped-both-read-and-mate	62.0	677.0	26.0	583.0	4.0	236.0	4797.0
MUX4095.WHH1703.unmapped-both-read-and-mate	34.0	811.0	7.0	894.0	5.0	192.0	6296.0
MUX4095.WHH1706.unmapped-both-read-and-mate	50.0	722.0	11.0	1893.0	10.0	1332.0	7571.0
MUX4095.WHH1720.unmapped-both-read-and-mate	25.0	660.0	1.0	752.0	5.0	167.0	5184.0
MUX4111.WHH1748.unmapped-both-read-and-mate	31.0	589.0	nan	3.0	nan	84.0	3782.0
MUX4111.WHH1762.unmapped-both-read-and-mate	23.0	637.0	nan	7.0	nan	40.0	4272.0
MUX4111.WHH1776.unmapped-both-read-and-mate	20.0	749.0	2.0	nan	1.0	19.0	4568.0
MUX4111.WHH1791.unmapped-both-read-and-mate	31.0	580.0	7.0	3.0	3.0	204.0	4023.0
MUX4111.WHH1802.unmapped-both-read-and-mate	20.0	681.0	2.0	2.0	nan	69.0	4279.0
MUX4111.WHH1814.unmapped-both-read-and-mate	8.0	737.0	1.0	2.0	nan	39.0	4773.0
MUX4127.WHH1846.unmapped-both-read-and-mate	11.0	538.0	nan	4.0	nan	40.0	3830.0
MUX4127.WHH1848.unmapped-both-read-and-mate	17.0	647.0	nan	3.0	nan	59.0	4165.0
MUX4127.WHH1854.unmapped-both-read-and-mate	13.0	709.0	4.0	nan	nan	60.0	4145.0
MUX4127.WHH1895.unmapped-both-read-and-mate	5.0	746.0	nan	2.0	nan	34.0	4751.0
MUX4127.WHH1897.unmapped-both-read-and-mate	14.0	605.0	nan	1.0	nan	71.0	3908.0
MUX4150.WHH2127.unmapped-both-read-and-mate	17.0	613.0	nan	nan	nan	30.0	4025.0
MUX4150.WHH2168.unmapped-both-read-and-mate	15.0	578.0	nan	nan	nan	17.0	3720.0
