Sample	Pseudomonas	Homo	Ralstonia	Alcaligenes	Sphingomonas	Other	Unclassified
MUX4111.WHH1791.unmapped-both-read-and-mate	31.0	580.0	1.0	nan	3.0	213.0	4023.0
MUX4111.WHH1802.unmapped-both-read-and-mate	20.0	681.0	1.0	nan	2.0	70.0	4279.0
MUX4111.WHH1814.unmapped-both-read-and-mate	8.0	737.0	1.0	nan	1.0	40.0	4773.0
MUX4127.WHH1846.unmapped-both-read-and-mate	11.0	538.0	nan	nan	nan	44.0	3830.0
MUX4127.WHH1848.unmapped-both-read-and-mate	17.0	647.0	nan	nan	nan	62.0	4165.0
MUX4127.WHH1854.unmapped-both-read-and-mate	13.0	709.0	nan	nan	3.0	61.0	4145.0
MUX4127.WHH1895.unmapped-both-read-and-mate	5.0	746.0	nan	nan	nan	36.0	4751.0
MUX4127.WHH1897.unmapped-both-read-and-mate	14.0	605.0	1.0	nan	nan	71.0	3908.0
MUX4150.WHH2127.unmapped-both-read-and-mate	17.0	613.0	nan	nan	nan	30.0	4025.0
MUX4150.WHH2168.unmapped-both-read-and-mate	15.0	578.0	nan	nan	nan	17.0	3720.0
MUX4150.WHH2189.unmapped-both-read-and-mate	18.0	784.0	1.0	nan	nan	37.0	4647.0
MUX4150.WHH2203.unmapped-both-read-and-mate	27.0	648.0	nan	nan	9.0	88.0	4471.0
MUX4150.WHH2208.unmapped-both-read-and-mate	6.0	599.0	8.0	nan	nan	72.0	4036.0
MUX4150.WHH2209.unmapped-both-read-and-mate	10.0	533.0	1.0	nan	1.0	54.0	3866.0
MUX4212.WHH2329.unmapped-both-read-and-mate	109345.0	515.0	83.0	nan	8096.0	82168.0	76341.0
MUX4212.WHH2332.unmapped-both-read-and-mate	275625.0	619.0	96.0	3.0	5028.0	65271.0	66650.0
MUX4212.WHH2357.unmapped-both-read-and-mate	2402.0	818.0	91.0	4.0	5587.0	74704.0	71856.0
MUX4212.WHH2395.unmapped-both-read-and-mate	399866.0	697.0	54.0	2.0	1419.0	68859.0	61131.0
MUX5167.WHB587.unmapped-both-read-and-mate	2.0	458.0	35.0	nan	nan	259.0	6457.0
MUX5168.WHB598.unmapped-both-read-and-mate	3.0	441.0	23.0	nan	2.0	163.0	3972.0
MUX5168.WHB607.unmapped-both-read-and-mate	3.0	413.0	76.0	nan	4.0	399.0	4008.0
MUX5169.WHB609.unmapped-both-read-and-mate	nan	468.0	60.0	nan	2.0	298.0	3911.0
MUX5170.WHB636.unmapped-both-read-and-mate	1.0	500.0	70.0	nan	1.0	295.0	7612.0
MUX5171.WHB655.unmapped-both-read-and-mate	1.0	485.0	52.0	nan	3.0	262.0	6027.0
MUX5172.WHB660.unmapped-both-read-and-mate	6.0	578.0	44.0	nan	2.0	373.0	6578.0
MUX5172.WHB662.unmapped-both-read-and-mate	1.0	464.0	55.0	nan	3.0	238.0	5682.0
MUX5173.WHB673.unmapped-both-read-and-mate	3.0	524.0	42.0	nan	3.0	287.0	6675.0
MUX5179.WHB535.unmapped-both-read-and-mate	21.0	472.0	40.0	nan	1.0	574.0	9544.0
