Sample	Proteobacteria	Chordata	Actinobacteria	Firmicutes	Bacteroidetes	Other	Unclassified
MUX3434.WHH849.unmapped-both-read-and-mate	101.0	766.0	1.0	1.0	2.0	6.0	4566.0
MUX3434.WHH860.unmapped-both-read-and-mate	43.0	862.0	4.0	1.0	nan	6.0	5397.0
MUX3434.WHH868.unmapped-both-read-and-mate	112.0	763.0	8.0	nan	nan	8.0	5346.0
MUX3434.WHH872.unmapped-both-read-and-mate	101.0	887.0	6.0	4.0	1.0	9.0	5862.0
MUX3529.WHH942.unmapped-both-read-and-mate	173.0	657.0	5.0	3.0	nan	18.0	4202.0
MUX3529.WHH966.unmapped-both-read-and-mate	92.0	708.0	5.0	1.0	nan	3.0	4779.0
MUX3529.WHH981.unmapped-both-read-and-mate	168.0	793.0	5.0	4.0	nan	4.0	5008.0
MUX3529.WHH987.unmapped-both-read-and-mate	143.0	777.0	2.0	2.0	2.0	5.0	4595.0
MUX3529.WHH999.unmapped-both-read-and-mate	80.0	654.0	2.0	3.0	2.0	8.0	4206.0
MUX3936.WHH1096.unmapped-both-read-and-mate	167.0	716.0	62.0	9.0	3.0	4.0	4808.0
MUX3936.WHH1097.unmapped-both-read-and-mate	46.0	669.0	4.0	1.0	1.0	5.0	4181.0
MUX3936.WHH1122.unmapped-both-read-and-mate	52.0	747.0	6.0	4.0	1.0	3.0	4306.0
MUX3936.WHH1136.unmapped-both-read-and-mate	4096.0	803.0	29.0	6.0	3.0	45.0	7809.0
MUX3936.WHH1147.unmapped-both-read-and-mate	9277.0	594.0	118.0	8.0	14.0	74.0	9412.0
MUX3949.WHH1158.unmapped-both-read-and-mate	37.0	763.0	1.0	4.0	2.0	4.0	3942.0
MUX3949.WHH1190.unmapped-both-read-and-mate	131.0	718.0	5.0	nan	2.0	1.0	4294.0
MUX3949.WHH1197.unmapped-both-read-and-mate	2331.0	844.0	26.0	4.0	4.0	14.0	5290.0
MUX3949.WHH1237.unmapped-both-read-and-mate	77.0	673.0	3.0	3.0	2.0	1.0	3813.0
MUX3949.WHH1248.unmapped-both-read-and-mate	8502.0	699.0	195.0	8.0	110.0	35.0	6478.0
MUX3949.WHH1249.unmapped-both-read-and-mate	3268.0	673.0	19.0	4.0	3.0	26.0	5258.0
MUX3969.WHH1253.unmapped-both-read-and-mate	145.0	586.0	11.0	5.0	4.0	7.0	4465.0
MUX3969.WHH1276.unmapped-both-read-and-mate	202.0	678.0	12.0	3.0	1.0	7.0	4710.0
MUX3969.WHH1284.unmapped-both-read-and-mate	264.0	685.0	25.0	1.0	2.0	10.0	5017.0
MUX3969.WHH1291.unmapped-both-read-and-mate	270.0	685.0	15.0	2.0	11.0	14.0	4997.0
MUX3969.WHH1294.unmapped-both-read-and-mate	113.0	697.0	4.0	4.0	nan	5.0	4988.0
MUX3969.WHH1302.unmapped-both-read-and-mate	5566.0	731.0	59.0	5.0	33.0	35.0	6703.0
MUX3969.WHH1303.unmapped-both-read-and-mate	266.0	596.0	12.0	nan	1.0	9.0	4518.0
MUX3969.WHH1319.unmapped-both-read-and-mate	77.0	752.0	5.0	2.0	nan	8.0	4929.0
MUX3969.WHH1321.unmapped-both-read-and-mate	138.0	730.0	8.0	1.0	1.0	6.0	4704.0
MUX3969.WHH1324.unmapped-both-read-and-mate	102.0	720.0	6.0	1.0	2.0	6.0	5286.0
MUX3969.WHH1329.unmapped-both-read-and-mate	434.0	665.0	31.0	1.0	6.0	11.0	4365.0
MUX3969.WHH1342.unmapped-both-read-and-mate	170.0	645.0	11.0	4.0	3.0	7.0	4832.0
MUX3969.WHH1343.unmapped-both-read-and-mate	205.0	762.0	22.0	5.0	4.0	8.0	5414.0
MUX3971.WHH1351.unmapped-both-read-and-mate	2552.0	625.0	131.0	15.0	2.0	20.0	5440.0
MUX3971.WHH1385.unmapped-both-read-and-mate	3404.0	677.0	26.0	1.0	2.0	19.0	6501.0
MUX3971.WHH1398.unmapped-both-read-and-mate	5771.0	731.0	52.0	1.0	4.0	32.0	7449.0
MUX3971.WHH1401.unmapped-both-read-and-mate	2273.0	662.0	20.0	1.0	1.0	19.0	5635.0
MUX3971.WHH1403.unmapped-both-read-and-mate	8566.0	722.0	73.0	10.0	7.0	54.0	9581.0
MUX3971.WHH1423.unmapped-both-read-and-mate	178.0	572.0	6.0	1.0	6.0	7.0	4481.0
MUX3971.WHH1439.unmapped-both-read-and-mate	4945.0	697.0	30.0	10.0	16.0	36.0	7860.0
MUX4050.WHH1462.unmapped-both-read-and-mate	3511.0	656.0	1494.0	530.0	7.0	35.0	5372.0
MUX4050.WHH1493.unmapped-both-read-and-mate	261.0	899.0	5.0	3.0	nan	5.0	5419.0
MUX4050.WHH1507.unmapped-both-read-and-mate	3710.0	786.0	30.0	1.0	3.0	27.0	6049.0
MUX4050.WHH1511.unmapped-both-read-and-mate	1739.0	800.0	20.0	2.0	4.0	21.0	6084.0
MUX4050.WHH1512.unmapped-both-read-and-mate	2229.0	754.0	15.0	1.0	1.0	13.0	5152.0
MUX4050.WHH1513.unmapped-both-read-and-mate	1831.0	648.0	9.0	1.0	1.0	19.0	4663.0
MUX4050.WHH1536.unmapped-both-read-and-mate	180.0	715.0	11.0	2.0	nan	5.0	4922.0
MUX4068.WHH1580.unmapped-both-read-and-mate	131.0	616.0	107.0	1.0	2.0	14.0	4566.0
MUX4068.WHH1584.unmapped-both-read-and-mate	166.0	711.0	8.0	6.0	3.0	10.0	5044.0
MUX4068.WHH1587.unmapped-both-read-and-mate	340.0	691.0	16.0	4.0	1.0	11.0	5413.0
MUX4068.WHH1603.unmapped-both-read-and-mate	103.0	604.0	4.0	nan	nan	9.0	4245.0
MUX4068.WHH1614.unmapped-both-read-and-mate	7354.0	730.0	75.0	6.0	4.0	42.0	7975.0
MUX4095.WHH1677.unmapped-both-read-and-mate	263.0	728.0	12.0	4.0	1.0	3.0	5130.0
MUX4095.WHH1692.unmapped-both-read-and-mate	579.0	717.0	6.0	3.0	1.0	6.0	5048.0
MUX4095.WHH1701.unmapped-both-read-and-mate	882.0	677.0	10.0	4.0	1.0	14.0	4797.0
MUX4095.WHH1703.unmapped-both-read-and-mate	1106.0	811.0	16.0	1.0	1.0	8.0	6296.0
MUX4095.WHH1706.unmapped-both-read-and-mate	2921.0	722.0	65.0	28.0	236.0	46.0	7571.0
MUX4095.WHH1720.unmapped-both-read-and-mate	925.0	660.0	16.0	nan	1.0	8.0	5184.0
MUX4111.WHH1748.unmapped-both-read-and-mate	70.0	589.0	38.0	5.0	1.0	4.0	3782.0
MUX4111.WHH1762.unmapped-both-read-and-mate	60.0	637.0	5.0	nan	2.0	3.0	4272.0
MUX4111.WHH1776.unmapped-both-read-and-mate	39.0	749.0	1.0	nan	nan	2.0	4568.0
MUX4111.WHH1791.unmapped-both-read-and-mate	108.0	580.0	110.0	6.0	1.0	23.0	4023.0
MUX4111.WHH1802.unmapped-both-read-and-mate	70.0	681.0	13.0	2.0	4.0	4.0	4279.0
MUX4111.WHH1814.unmapped-both-read-and-mate	36.0	737.0	9.0	nan	2.0	3.0	4773.0
MUX4127.WHH1846.unmapped-both-read-and-mate	42.0	538.0	4.0	nan	2.0	7.0	3830.0
MUX4127.WHH1848.unmapped-both-read-and-mate	67.0	647.0	5.0	2.0	1.0	4.0	4165.0
