Sample	Pseudomonadales	Burkholderiales	Primates	Sphingomonadales	Rhizobiales	Other	Unclassified
MUX5243.WHH5006.unmapped-both-read-and-mate	42.0	7.0	350.0	8.0	19.0	119.0	3105.0
MUX5243.WHH5014.unmapped-both-read-and-mate	nan	5.0	434.0	3.0	9.0	14.0	3664.0
MUX5244.WHH5033.unmapped-both-read-and-mate	5.0	1.0	575.0	3.0	nan	42.0	7725.0
MUX5246.WHH5062.unmapped-both-read-and-mate	5.0	7.0	548.0	nan	2.0	28.0	6619.0
MUX5246.WHH5063.unmapped-both-read-and-mate	nan	6.0	537.0	4.0	4.0	24.0	6014.0
MUX5246.WHH5064.unmapped-both-read-and-mate	2.0	nan	498.0	2.0	nan	5.0	5924.0
MUX5247.WHH5072.unmapped-both-read-and-mate	14.0	23.0	574.0	4.0	1.0	3673.0	15413.0
MUX5247.WHH5074.unmapped-both-read-and-mate	25.0	26.0	643.0	3.0	1.0	4351.0	17662.0
MUX5250.WHH5109.unmapped-both-read-and-mate	61.0	10082.0	375.0	10.0	575.0	211.0	5260.0
MUX5255.WHH5000.unmapped-both-read-and-mate	6.0	21.0	501.0	nan	6.0	24.0	6160.0
MUX5261.WHH5159.unmapped-both-read-and-mate	2.0	383.0	449.0	1.0	27.0	19.0	7780.0
MUX5261.WHH5160.unmapped-both-read-and-mate	7.0	565.0	460.0	6.0	19.0	32.0	7407.0
MUX5261.WHH5161.unmapped-both-read-and-mate	7.0	887.0	534.0	1.0	17.0	26.0	8545.0
MUX5264.WHH5170.unmapped-both-read-and-mate	50.0	5.0	927.0	3.0	1.0	17015.0	55702.0
MUX5266.WHH5178.unmapped-both-read-and-mate	22.0	3187.0	405.0	4.0	66.0	90.0	6300.0
MUX5266.WHH5188.unmapped-both-read-and-mate	187.0	14.0	2218.0	3.0	8.0	57740.0	201374.0
MUX5287.WHH4826.unmapped-both-read-and-mate	2.0	37.0	618.0	32.0	15.0	39.0	6806.0
MUX5287.WHH4831.unmapped-both-read-and-mate	3.0	2.0	520.0	4.0	nan	17.0	5034.0
MUX5288.WHH4837.unmapped-both-read-and-mate	9.0	2.0	480.0	2.0	2.0	19.0	4430.0
