Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified
MUX4111.WHH1762.unmapped-both-read-and-mate	69.0	637.0	1.0	nan	4272.0
MUX4111.WHH1776.unmapped-both-read-and-mate	41.0	749.0	1.0	nan	4568.0
MUX4111.WHH1791.unmapped-both-read-and-mate	248.0	580.0	nan	nan	4023.0
MUX4111.WHH1802.unmapped-both-read-and-mate	93.0	681.0	nan	nan	4279.0
MUX4111.WHH1814.unmapped-both-read-and-mate	50.0	737.0	nan	nan	4773.0
MUX4127.WHH1846.unmapped-both-read-and-mate	55.0	538.0	nan	nan	3830.0
MUX4127.WHH1848.unmapped-both-read-and-mate	76.0	647.0	2.0	1.0	4165.0
MUX4127.WHH1854.unmapped-both-read-and-mate	68.0	709.0	8.0	1.0	4145.0
MUX4127.WHH1895.unmapped-both-read-and-mate	40.0	746.0	1.0	nan	4751.0
MUX4127.WHH1897.unmapped-both-read-and-mate	86.0	605.0	nan	nan	3908.0
MUX4150.WHH2127.unmapped-both-read-and-mate	47.0	613.0	nan	nan	4025.0
MUX4150.WHH2168.unmapped-both-read-and-mate	31.0	578.0	nan	1.0	3720.0
MUX4150.WHH2189.unmapped-both-read-and-mate	56.0	784.0	nan	nan	4647.0
MUX4150.WHH2203.unmapped-both-read-and-mate	124.0	648.0	nan	nan	4471.0
MUX4150.WHH2208.unmapped-both-read-and-mate	84.0	599.0	2.0	nan	4036.0
MUX4150.WHH2209.unmapped-both-read-and-mate	65.0	533.0	1.0	nan	3866.0
MUX4212.WHH2329.unmapped-both-read-and-mate	199651.0	515.0	17.0	24.0	76341.0
MUX4212.WHH2332.unmapped-both-read-and-mate	345992.0	619.0	15.0	16.0	66650.0
MUX4212.WHH2357.unmapped-both-read-and-mate	82755.0	818.0	12.0	21.0	71856.0
MUX4212.WHH2395.unmapped-both-read-and-mate	470177.0	697.0	6.0	17.0	61131.0
MUX5167.WHB587.unmapped-both-read-and-mate	293.0	458.0	3.0	nan	6457.0
MUX5168.WHB598.unmapped-both-read-and-mate	188.0	441.0	3.0	nan	3972.0
MUX5168.WHB607.unmapped-both-read-and-mate	478.0	413.0	4.0	nan	4008.0
MUX5169.WHB609.unmapped-both-read-and-mate	360.0	468.0	nan	nan	3911.0
MUX5170.WHB636.unmapped-both-read-and-mate	363.0	500.0	4.0	nan	7612.0
MUX5171.WHB655.unmapped-both-read-and-mate	316.0	485.0	2.0	nan	6027.0
