Sample	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Mammalia	Actinobacteria	Other	Unclassified
MUX4050.WHH1536.unmapped-both-read-and-mate	45.0	38.0	91.0	715.0	10.0	14.0	4922.0
MUX4068.WHH1580.unmapped-both-read-and-mate	19.0	45.0	61.0	616.0	103.0	27.0	4566.0
MUX4068.WHH1584.unmapped-both-read-and-mate	38.0	31.0	92.0	711.0	8.0	24.0	5044.0
MUX4068.WHH1587.unmapped-both-read-and-mate	69.0	81.0	180.0	691.0	16.0	26.0	5413.0
MUX4068.WHH1603.unmapped-both-read-and-mate	33.0	14.0	52.0	604.0	3.0	14.0	4245.0
MUX4068.WHH1614.unmapped-both-read-and-mate	172.0	349.0	6741.0	730.0	74.0	145.0	7975.0
MUX4095.WHH1677.unmapped-both-read-and-mate	110.0	51.0	95.0	728.0	12.0	15.0	5130.0
MUX4095.WHH1692.unmapped-both-read-and-mate	65.0	57.0	449.0	717.0	6.0	18.0	5048.0
MUX4095.WHH1701.unmapped-both-read-and-mate	176.0	68.0	623.0	677.0	10.0	34.0	4797.0
MUX4095.WHH1703.unmapped-both-read-and-mate	73.0	57.0	964.0	811.0	15.0	23.0	6296.0
MUX4095.WHH1706.unmapped-both-read-and-mate	602.0	135.0	2151.0	722.0	64.0	344.0	7571.0
MUX4095.WHH1720.unmapped-both-read-and-mate	69.0	25.0	819.0	660.0	15.0	22.0	5184.0
MUX4111.WHH1748.unmapped-both-read-and-mate	45.0	7.0	17.0	589.0	36.0	13.0	3782.0
MUX4111.WHH1762.unmapped-both-read-and-mate	34.0	2.0	23.0	637.0	5.0	6.0	4272.0
MUX4111.WHH1776.unmapped-both-read-and-mate	30.0	3.0	6.0	749.0	1.0	2.0	4568.0
MUX4111.WHH1791.unmapped-both-read-and-mate	59.0	29.0	18.0	580.0	110.0	32.0	4023.0
MUX4111.WHH1802.unmapped-both-read-and-mate	37.0	9.0	24.0	681.0	13.0	10.0	4279.0
MUX4111.WHH1814.unmapped-both-read-and-mate	21.0	4.0	10.0	737.0	9.0	6.0	4773.0
MUX4127.WHH1846.unmapped-both-read-and-mate	23.0	2.0	16.0	538.0	4.0	10.0	3830.0
MUX4127.WHH1848.unmapped-both-read-and-mate	39.0	10.0	18.0	647.0	5.0	7.0	4165.0
MUX4127.WHH1854.unmapped-both-read-and-mate	36.0	9.0	6.0	709.0	5.0	21.0	4145.0
MUX4127.WHH1895.unmapped-both-read-and-mate	21.0	4.0	3.0	746.0	4.0	9.0	4751.0
MUX4127.WHH1897.unmapped-both-read-and-mate	48.0	5.0	5.0	605.0	17.0	11.0	3908.0
MUX4150.WHH2127.unmapped-both-read-and-mate	28.0	4.0	7.0	613.0	3.0	5.0	4025.0
MUX4150.WHH2168.unmapped-both-read-and-mate	20.0	2.0	1.0	578.0	1.0	8.0	3720.0
MUX4150.WHH2189.unmapped-both-read-and-mate	36.0	10.0	3.0	784.0	1.0	6.0	4647.0
MUX4150.WHH2203.unmapped-both-read-and-mate	50.0	29.0	30.0	648.0	7.0	8.0	4471.0
MUX4150.WHH2208.unmapped-both-read-and-mate	34.0	3.0	33.0	599.0	2.0	14.0	4036.0
MUX4150.WHH2209.unmapped-both-read-and-mate	30.0	6.0	18.0	533.0	4.0	8.0	3866.0
MUX4212.WHH2329.unmapped-both-read-and-mate	110800.0	40903.0	4037.0	515.0	40176.0	3776.0	76341.0
MUX4212.WHH2332.unmapped-both-read-and-mate	277816.0	25073.0	6276.0	619.0	30572.0	6286.0	66650.0
MUX4212.WHH2357.unmapped-both-read-and-mate	3230.0	42234.0	2242.0	818.0	32997.0	2085.0	71856.0
MUX4212.WHH2395.unmapped-both-read-and-mate	402670.0	11858.0	7828.0	697.0	39806.0	8038.0	61131.0
MUX5167.WHB587.unmapped-both-read-and-mate	6.0	46.0	225.0	458.0	11.0	8.0	6457.0
MUX5168.WHB598.unmapped-both-read-and-mate	8.0	33.0	130.0	441.0	9.0	11.0	3972.0
MUX5168.WHB607.unmapped-both-read-and-mate	6.0	125.0	281.0	413.0	46.0	24.0	4008.0
MUX5169.WHB609.unmapped-both-read-and-mate	5.0	58.0	285.0	468.0	4.0	8.0	3911.0
MUX5170.WHB636.unmapped-both-read-and-mate	5.0	54.0	292.0	500.0	7.0	9.0	7612.0
MUX5171.WHB655.unmapped-both-read-and-mate	7.0	24.0	272.0	485.0	4.0	11.0	6027.0
MUX5172.WHB660.unmapped-both-read-and-mate	12.0	92.0	292.0	578.0	25.0	4.0	6578.0
MUX5172.WHB662.unmapped-both-read-and-mate	11.0	48.0	223.0	464.0	8.0	7.0	5682.0
MUX5173.WHB673.unmapped-both-read-and-mate	10.0	43.0	254.0	524.0	13.0	15.0	6675.0
MUX5179.WHB535.unmapped-both-read-and-mate	42.0	99.0	326.0	472.0	83.0	86.0	9544.0
MUX5179.WHB541.unmapped-both-read-and-mate	18.0	236.0	926.0	418.0	259.0	43.0	7125.0
MUX5180.WHB549.unmapped-both-read-and-mate	11.0	119.0	659.0	569.0	13.0	19.0	8322.0
MUX5181.WHB558.unmapped-both-read-and-mate	13.0	160.0	506.0	423.0	19.0	21.0	5593.0
MUX5183.WHB696.unmapped-both-read-and-mate	34.0	32.0	14.0	432.0	114.0	28.0	5774.0
MUX5183.WHB698.unmapped-both-read-and-mate	18.0	7.0	6.0	527.0	2186.0	1806.0	15649.0
MUX5184.WHB710.unmapped-both-read-and-mate	2.0	6.0	2.0	440.0	23.0	10.0	4088.0
MUX5185.WHB711.unmapped-both-read-and-mate	7.0	8.0	5.0	445.0	6.0	6.0	4117.0
MUX5185.WHB721.unmapped-both-read-and-mate	36.0	6.0	2.0	363.0	20.0	7.0	3161.0
MUX5186.WHB722.unmapped-both-read-and-mate	14.0	10.0	9.0	407.0	11.0	8.0	4361.0
MUX5188.WHB747.unmapped-both-read-and-mate	5.0	8.0	6.0	509.0	15.0	12.0	6893.0
MUX5188.WHB757.unmapped-both-read-and-mate	5.0	3.0	4.0	293.0	34.0	18.0	7235.0
MUX5227.WHB769.unmapped-both-read-and-mate	28.0	44.0	4.0	422.0	9.0	9.0	3411.0
MUX5228.WHB578.unmapped-both-read-and-mate	4.0	38.0	162.0	418.0	18.0	4.0	3431.0
MUX5229.WHB683.unmapped-both-read-and-mate	10.0	2.0	3.0	342.0	3.0	30.0	3098.0
MUX5234.WHB816.unmapped-both-read-and-mate	6.0	58.0	11.0	489.0	9.0	6.0	7092.0
MUX5234.WHB825.unmapped-both-read-and-mate	27.0	37.0	21.0	368.0	219.0	214.0	6697.0
MUX5235.WHB826.unmapped-both-read-and-mate	8.0	32.0	11.0	371.0	5.0	3.0	4317.0
MUX5235.WHB836.unmapped-both-read-and-mate	14.0	59.0	13.0	443.0	10.0	7.0	5599.0
MUX5236.WHB839.unmapped-both-read-and-mate	27.0	55.0	33.0	388.0	689.0	24.0	4873.0
MUX5236.WHB840.unmapped-both-read-and-mate	9.0	41.0	9.0	386.0	11.0	12.0	4121.0
MUX5236.WHB845.unmapped-both-read-and-mate	9.0	30.0	10.0	441.0	1.0	4.0	4184.0
MUX5240.WHB619.unmapped-both-read-and-mate	27.0	76.0	385.0	572.0	19.0	30.0	4916.0
MUX5240.WHB621.unmapped-both-read-and-mate	9.0	85.0	244.0	505.0	13.0	14.0	4519.0
MUX5240.WHB622.unmapped-both-read-and-mate	14.0	33.0	176.0	449.0	11.0	25.0	3861.0
MUX5240.WHB624.unmapped-both-read-and-mate	15.0	59.0	236.0	536.0	11.0	24.0	4311.0
MUX5242.WHB595.unmapped-both-read-and-mate	15.0	39.0	205.0	608.0	42.0	34.0	5222.0
MUX5243.WHH5006.unmapped-both-read-and-mate	49.0	98.0	9.0	350.0	20.0	19.0	3105.0
MUX5243.WHH5014.unmapped-both-read-and-mate	3.0	13.0	6.0	434.0	5.0	4.0	3664.0
MUX5244.WHH5033.unmapped-both-read-and-mate	11.0	6.0	1.0	575.0	9.0	24.0	7725.0
MUX5246.WHH5062.unmapped-both-read-and-mate	7.0	3.0	7.0	548.0	12.0	13.0	6619.0
MUX5246.WHH5063.unmapped-both-read-and-mate	4.0	9.0	6.0	537.0	9.0	10.0	6014.0
MUX5246.WHH5064.unmapped-both-read-and-mate	3.0	2.0	nan	498.0	2.0	2.0	5924.0
MUX5247.WHH5072.unmapped-both-read-and-mate	22.0	6.0	24.0	574.0	2058.0	1605.0	15413.0
MUX5247.WHH5074.unmapped-both-read-and-mate	32.0	6.0	28.0	643.0	2357.0	1983.0	17662.0
MUX5250.WHH5109.unmapped-both-read-and-mate	84.0	621.0	10089.0	375.0	29.0	116.0	5260.0
MUX5255.WHH5000.unmapped-both-read-and-mate	7.0	8.0	21.0	501.0	13.0	8.0	6160.0
MUX5261.WHH5159.unmapped-both-read-and-mate	8.0	29.0	383.0	449.0	5.0	7.0	7780.0
MUX5261.WHH5160.unmapped-both-read-and-mate	10.0	28.0	565.0	460.0	11.0	15.0	7407.0
MUX5261.WHH5161.unmapped-both-read-and-mate	11.0	18.0	888.0	534.0	7.0	14.0	8545.0
MUX5264.WHH5170.unmapped-both-read-and-mate	58.0	4.0	5.0	927.0	9212.0	7795.0	55702.0
MUX5266.WHH5178.unmapped-both-read-and-mate	30.0	74.0	3189.0	405.0	15.0	61.0	6300.0
MUX5266.WHH5188.unmapped-both-read-and-mate	232.0	16.0	15.0	2218.0	31740.0	25949.0	201374.0
MUX5287.WHH4826.unmapped-both-read-and-mate	7.0	54.0	37.0	618.0	18.0	9.0	6806.0
MUX5287.WHH4831.unmapped-both-read-and-mate	6.0	5.0	2.0	520.0	6.0	7.0	5034.0
MUX5288.WHH4837.unmapped-both-read-and-mate	10.0	4.0	2.0	480.0	12.0	6.0	4430.0
