Sample	Pseudomonas mendocina	Homo sapiens	Alcaligenes faecalis	Sphingobium sp. YG1	Ralstonia insidiosa	Other	Unclassified
MUX5261.WHH5160.unmapped-both-read-and-mate	nan	460.0	nan	nan	435.0	194.0	7407.0
MUX5261.WHH5161.unmapped-both-read-and-mate	nan	534.0	nan	nan	713.0	225.0	8545.0
MUX5264.WHH5170.unmapped-both-read-and-mate	nan	927.0	nan	nan	4.0	17070.0	55702.0
MUX5266.WHH5178.unmapped-both-read-and-mate	nan	405.0	nan	nan	2554.0	815.0	6300.0
MUX5266.WHH5188.unmapped-both-read-and-mate	nan	2218.0	2.0	nan	nan	57950.0	201374.0
MUX5287.WHH4826.unmapped-both-read-and-mate	nan	618.0	nan	1.0	nan	124.0	6806.0
MUX5287.WHH4831.unmapped-both-read-and-mate	nan	520.0	nan	nan	nan	26.0	5034.0
MUX5288.WHH4837.unmapped-both-read-and-mate	nan	480.0	nan	nan	nan	34.0	4430.0
MUX5288.WHH4844.unmapped-both-read-and-mate	nan	400.0	nan	nan	nan	27.0	4027.0
MUX5295.WHH4869.unmapped-both-read-and-mate	nan	401.0	nan	nan	nan	28.0	3619.0
MUX5297.WHH4901.unmapped-both-read-and-mate	nan	386.0	nan	nan	nan	358.0	4035.0
MUX5299.WHH4929.unmapped-both-read-and-mate	nan	502.0	nan	nan	nan	41.0	6421.0
MUX5299.WHH4933.unmapped-both-read-and-mate	nan	462.0	nan	nan	nan	18.0	6204.0
MUX5300.WHH4939.unmapped-both-read-and-mate	nan	423.0	nan	nan	nan	47.0	5550.0
MUX5301.WHB829.unmapped-both-read-and-mate	nan	352.0	nan	nan	nan	202.0	4891.0
MUX5301.WHB859.unmapped-both-read-and-mate	nan	420.0	nan	nan	nan	121.0	4945.0
MUX5301.WHH5002.unmapped-both-read-and-mate	nan	567.0	nan	1.0	1.0	79.0	6288.0
MUX5303.WHH5035.unmapped-both-read-and-mate	nan	854.0	nan	1.0	4.0	7512.0	31380.0
